Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Autauga County, Alabama",55380,29819,8340,0.15,Autauga County,Alabama
"Baldwin County, Alabama",212830,32626,21704,0.1,Baldwin County,Alabama
"Barbour County, Alabama",25361,18473,6875,0.27,Barbour County,Alabama
"Bibb County, Alabama",22493,20778,3740,0.17,Bibb County,Alabama
"Blount County, Alabama",57681,24747,7739,0.13,Blount County,Alabama
"Bullock County, Alabama",10248,20877,2825,0.28,Bullock County,Alabama
"Butler County, Alabama",19828,21038,4397,0.22,Butler County,Alabama
"Calhoun County, Alabama",114618,25345,19969,0.17,Calhoun County,Alabama
"Chambers County, Alabama",33660,22729,5711,0.17,Chambers County,Alabama
"Cherokee County, Alabama",25903,24301,3560,0.14,Cherokee County,Alabama
"Chilton County, Alabama",44055,24658,8302,0.19,Chilton County,Alabama
"Choctaw County, Alabama",12925,22308,2968,0.23,Choctaw County,Alabama
"Clarke County, Alabama",24128,22225,5484,0.23,Clarke County,Alabama
"Clay County, Alabama",13337,23519,2342,0.18,Clay County,Alabama
"Cleburne County, Alabama",14916,23142,2531,0.17,Cleburne County,Alabama
"Coffee County, Alabama",51662,27806,7670,0.15,Coffee County,Alabama
"Colbert County, Alabama",54771,25536,8390,0.15,Colbert County,Alabama
"Conecuh County, Alabama",12394,19769,2161,0.17,Conecuh County,Alabama
"Coosa County, Alabama",10757,23694,1399,0.13,Coosa County,Alabama
"Covington County, Alabama",37200,23687,6756,0.18,Covington County,Alabama
"Crenshaw County, Alabama",13844,24563,2065,0.15,Crenshaw County,Alabama
"Cullman County, Alabama",82853,23468,12133,0.15,Cullman County,Alabama
"Dale County, Alabama",49277,24645,8424,0.17,Dale County,Alabama
"Dallas County, Alabama",39149,19612,11204,0.29,Dallas County,Alabama
"DeKalb County, Alabama",71310,21907,14833,0.21,DeKalb County,Alabama
"Elmore County, Alabama",81144,29052,8820,0.11,Elmore County,Alabama
"Escambia County, Alabama",37057,19028,7551,0.2,Escambia County,Alabama
"Etowah County, Alabama",102748,24883,17625,0.17,Etowah County,Alabama
"Fayette County, Alabama",16494,22483,3146,0.19,Fayette County,Alabama
"Franklin County, Alabama",31466,21641,6007,0.19,Franklin County,Alabama
"Geneva County, Alabama",26417,21711,5743,0.22,Geneva County,Alabama
"Greene County, Alabama",8324,14884,3140,0.38,Greene County,Alabama
"Hale County, Alabama",14809,21191,3522,0.24,Hale County,Alabama
"Henry County, Alabama",17133,25276,2316,0.14,Henry County,Alabama
"Houston County, Alabama",104702,27097,18885,0.18,Houston County,Alabama
"Jackson County, Alabama",51852,22596,9536,0.18,Jackson County,Alabama
"Jefferson County, Alabama",659680,32098,103417,0.16,Jefferson County,Alabama
"Lamar County, Alabama",13885,22636,2827,0.2,Lamar County,Alabama
"Lauderdale County, Alabama",92556,28033,13175,0.14,Lauderdale County,Alabama
"Lawrence County, Alabama",33058,23450,5906,0.18,Lawrence County,Alabama
"Lee County, Alabama",161152,27860,30423,0.19,Lee County,Alabama
"Limestone County, Alabama",94727,28411,12436,0.13,Limestone County,Alabama
"Lowndes County, Alabama",10079,20209,2664,0.26,Lowndes County,Alabama
"Macon County, Alabama",18708,20419,3995,0.21,Macon County,Alabama
"Madison County, Alabama",362276,36620,44038,0.12,Madison County,Alabama
"Marengo County, Alabama",19321,25635,4174,0.22,Marengo County,Alabama
"Marion County, Alabama",29866,21311,5137,0.17,Marion County,Alabama
"Marshall County, Alabama",95643,24453,19147,0.2,Marshall County,Alabama
"Mobile County, Alabama",414114,25861,76275,0.18,Mobile County,Alabama
"Monroe County, Alabama",21270,20527,5869,0.28,Monroe County,Alabama
"Montgomery County, Alabama",226941,29071,42442,0.19,Montgomery County,Alabama
"Morgan County, Alabama",119213,27367,17126,0.14,Morgan County,Alabama
"Perry County, Alabama",9293,15055,2612,0.28,Perry County,Alabama
"Pickens County, Alabama",20243,23024,4204,0.21,Pickens County,Alabama
"Pike County, Alabama",33333,22453,7701,0.23,Pike County,Alabama
"Randolph County, Alabama",22647,24721,3748,0.17,Randolph County,Alabama
"Russell County, Alabama",57952,23470,11775,0.2,Russell County,Alabama
"St. Clair County, Alabama",87989,26409,10484,0.12,St. Clair County,Alabama
"Shelby County, Alabama",213432,38549,15742,0.07,Shelby County,Alabama
"Sumter County, Alabama",12797,16799,3782,0.3,Sumter County,Alabama
"Talladega County, Alabama",80387,23305,14653,0.18,Talladega County,Alabama
"Tallapoosa County, Alabama",40541,25217,7546,0.19,Tallapoosa County,Alabama
"Tuscaloosa County, Alabama",207305,26789,34749,0.17,Tuscaloosa County,Alabama
"Walker County, Alabama",64110,23882,11440,0.18,Walker County,Alabama
"Washington County, Alabama",16541,26752,3451,0.21,Washington County,Alabama
"Wilcox County, Alabama",10681,16841,3111,0.29,Wilcox County,Alabama
"Winston County, Alabama",23784,22952,4127,0.17,Winston County,Alabama
"Aleutians East Borough, Alaska",3385,33939,465,0.14,Aleutians East Borough,Alaska
"Aleutians West Census Area, Alaska",5698,39647,373,0.07,Aleutians West Census Area,Alaska
"Anchorage Municipality, Alaska",293531,41415,25861,0.09,Anchorage Municipality,Alaska
"Bethel Census Area, Alaska",18134,19885,4980,0.27,Bethel Census Area,Alaska
"Bristol Bay Borough, Alaska",875,44168,61,0.07,Bristol Bay Borough,Alaska
"Denali Borough, Alaska",2246,34365,354,0.16,Denali Borough,Alaska
"Dillingham Census Area, Alaska",4961,25993,843,0.17,Dillingham Census Area,Alaska
"Fairbanks North Star Borough, Alaska",99072,37025,7575,0.08,Fairbanks North Star Borough,Alaska
"Haines Borough, Alaska",2518,31731,278,0.11,Haines Borough,Alaska
"Hoonah-Angoon Census Area, Alaska",2139,36091,221,0.1,Hoonah-Angoon Census Area,Alaska
"Juneau City and Borough, Alaska",32227,43680,2440,0.08,Juneau City and Borough,Alaska
"Kenai Peninsula Borough, Alaska",58464,34226,6913,0.12,Kenai Peninsula Borough,Alaska
"Ketchikan Gateway Borough, Alaska",13800,37590,1304,0.09,Ketchikan Gateway Borough,Alaska
"Kodiak Island Borough, Alaska",13451,32876,1029,0.08,Kodiak Island Borough,Alaska
"Kusilvak Census Area, Alaska",8250,13762,3195,0.39,Kusilvak Census Area,Alaska
"Lake and Peninsula Borough, Alaska",1393,24836,229,0.16,Lake and Peninsula Borough,Alaska
"Matanuska-Susitna Borough, Alaska",105369,31232,10624,0.1,Matanuska-Susitna Borough,Alaska
"Nome Census Area, Alaska",9988,23581,2080,0.21,Nome Census Area,Alaska
"North Slope Borough, Alaska",9792,48730,983,0.1,North Slope Borough,Alaska
"Northwest Arctic Borough, Alaska",7715,23780,1995,0.26,Northwest Arctic Borough,Alaska
"Petersburg Borough, Alaska",3257,36112,186,0.06,Petersburg Borough,Alaska
"Prince of Wales-Hyder Census Area, Alaska",6407,27080,1098,0.17,Prince of Wales-Hyder Census Area,Alaska
"Sitka City and Borough, Alaska",8640,39615,731,0.08,Sitka City and Borough,Alaska
"Skagway Municipality, Alaska",1107,39453,70,0.06,Skagway Municipality,Alaska
"Southeast Fairbanks Census Area, Alaska",6878,32193,737,0.11,Southeast Fairbanks Census Area,Alaska
"Valdez-Cordova Census Area, Alaska",9243,38907,714,0.08,Valdez-Cordova Census Area,Alaska
"Wrangell City and Borough, Alaska",2502,32286,194,0.08,Wrangell City and Borough,Alaska
"Yakutat City and Borough, Alaska",649,32198,48,0.07,Yakutat City and Borough,Alaska
"Yukon-Koyukuk Census Area, Alaska",5377,22718,1352,0.25,Yukon-Koyukuk Census Area,Alaska
"Apache County, Arizona",71511,15128,24963,0.35,Apache County,Arizona
"Cochise County, Arizona",125867,26819,19476,0.15,Cochise County,Arizona
"Coconino County, Arizona",141274,27339,22539,0.16,Coconino County,Arizona
"Gila County, Arizona",53546,24251,11367,0.21,Gila County,Arizona
"Graham County, Arizona",37996,18683,7679,0.2,Graham County,Arizona
"Greenlee County, Arizona",9522,25780,1250,0.13,Greenlee County,Arizona
"La Paz County, Arizona",20793,22879,4592,0.22,La Paz County,Arizona
